hpo_id	term_label	anatomical_system	evidence_source
HP:0003119	Abnormal circulating lipid concentration	Metabolism/homeostasis	PMID:19622403
HP:0006660	Aplastic clavicle	Musculoskeletal system	PMID:19622403
HP:0000027	Azoospermia	Genitourinary system	ORPHA:84;PMID:19622403
HP:0002007	Frontal bossing	Head or neck	ORPHA:84
HP:0005473	Fusion of middle Ear ossicles	Musculoskeletal system	PMID:19622403
HP:0000218	High palate	Head or neck	ORPHA:84
HP:0000072	Hydroureter	Genitourinary system	ORPHA:84
HP:0001347	Hyperreflexia	Nervous system	ORPHA:84
HP:0000369	Low-set Ears	Ear	PMID:19622403
HP:0008551	Microtia	Ear	PMID:19622403
HP:0001513	Obesity	Growth abnormality	PMID:19622403
HP:0000798	Oligozoospermia	Genitourinary system	PMID:19622403
HP:0000358	Posteriorly rotated Ears	Ear	PMID:19622403
HP:0012745	Short palpebral fissure	Head or neck	ORPHA:84
HP:0002414	Spina bifida	Musculoskeletal system	ORPHA:84
HP:0001636	Tetralogy of Fallot	Cardiovascular system	ORPHA:84
HP:0001199	Triphalangeal thumb	Musculoskeletal system	ORPHA:84
